Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,203.949997,204.649994,202.649994,203.199997,198.690643,23759135
2018-01-03,203.199997,204.300003,202.600006,203.699997,199.179535,26003107
2018-01-04,203.750000,205.949997,203.050003,204.500000,199.961792,41817624
2018-01-05,204.350006,205.100006,199.059998,199.179993,194.759842,58768373
2018-01-08,199.000000,203.300003,198.759995,200.100006,195.659439,55607013
2018-01-09,200.350006,202.500000,198.759995,201.800003,197.321716,38643646
2018-01-10,197.000000,203.050003,197.000000,201.199997,196.735016,85664577
2018-01-11,200.000000,200.800003,194.479996,196.100006,191.748215,124866096
2018-01-12,197.179993,198.559998,193.639999,194.500000,190.183701,62954316
2018-01-15,200.000000,200.000000,194.800003,195.539993,191.200623,38161003
2018-01-16,195.500000,200.250000,194.559998,199.399994,194.974960,75894038
2018-01-17,198.820007,201.449997,197.440002,198.520004,194.114502,53204596
2018-01-18,199.679993,200.050003,197.899994,199.300003,194.877182,36794397
2018-01-19,200.000000,202.100006,198.300003,200.500000,196.050568,47896486
2018-01-22,201.750000,209.199997,201.449997,209.199997,204.557495,92915773
2018-01-23,209.850006,210.399994,207.500000,209.199997,204.557495,54340331
2018-01-24,209.000000,210.899994,208.500000,208.500000,203.873016,36895346
2018-01-25,208.100006,210.500000,207.550003,210.300003,205.633072,42719168
2018-01-26,210.000000,211.949997,209.649994,210.000000,205.339737,68123589
2018-01-29,209.899994,210.300003,207.500000,207.649994,203.041885,41036237
2018-01-30,206.149994,207.000000,200.100006,201.750000,197.272812,54603987
2018-01-31,203.300003,204.199997,199.139999,199.940002,195.502975,53613477
2018-02-01,201.850006,203.050003,197.100006,197.339996,192.960678,46811134
2018-02-02,197.820007,198.320007,195.320007,195.559998,191.220169,38872443
2018-02-05,193.800003,196.339996,192.899994,193.919998,189.616577,45753135
2018-02-06,188.619995,192.160004,187.139999,189.059998,184.864426,82124653
2018-02-07,191.100006,194.039993,190.119995,193.199997,188.912552,93588729
2018-02-08,192.539993,197.899994,191.339996,194.100006,189.792587,64720143
2018-02-09,192.899994,194.860001,191.619995,192.899994,188.619202,144212087
2018-02-12,195.000000,196.259995,192.559998,193.320007,189.029907,40766079
2018-02-13,193.720001,195.860001,192.820007,193.000000,188.716995,30184717
2018-02-14,195.179993,196.320007,192.720001,195.699997,191.357071,35424730
2018-02-15,197.300003,200.050003,196.979996,198.500000,194.094955,48541201
2018-02-16,199.440002,200.199997,197.860001,200.050003,195.610550,52709789
2018-02-19,200.699997,202.600006,200.300003,201.000000,196.539459,30775951
2018-02-20,201.750000,202.699997,200.000000,201.050003,196.588348,55803915
2018-02-21,201.000000,202.600006,199.899994,202.100006,197.615051,73438598
2018-02-22,207.800003,215.000000,207.800003,211.000000,206.317535,108366042
2018-02-23,208.500000,210.699997,208.500000,209.800003,205.144180,46441488
2018-02-26,209.899994,211.399994,208.500000,208.500000,203.873016,45828616
2018-02-27,209.699997,212.300003,209.199997,212.000000,207.295364,75807825
2018-02-28,210.949997,215.800003,210.899994,213.500000,208.762070,81046305
2018-03-01,211.250000,212.750000,210.350006,211.250000,208.515305,55056984
2018-03-02,208.899994,210.500000,204.000000,205.300003,202.642334,61214079
2018-03-05,204.350006,207.199997,204.100006,207.199997,204.517731,86995443
2018-03-06,210.000000,212.850006,209.199997,211.350006,208.614014,56515338
2018-03-07,211.350006,212.149994,210.250000,210.949997,208.219193,72558950
2018-03-08,213.000000,213.250000,210.550003,212.300003,209.551712,46362521
2018-03-09,212.699997,213.149994,210.000000,210.750000,208.021774,40946591
2018-03-12,212.050003,214.149994,210.800003,211.500000,208.762070,39289664
2018-03-13,211.800003,213.350006,209.649994,209.699997,206.985367,47728134
2018-03-14,209.100006,209.399994,207.250000,207.399994,204.715134,51810247
2018-03-15,207.399994,209.000000,205.500000,207.000000,204.320328,72189652
2018-03-16,206.350006,210.600006,205.949997,209.500000,206.787964,64316443
2018-03-19,215.000000,220.100006,213.800003,217.000000,214.190872,100833219
2018-03-20,216.050003,217.399994,215.699997,215.949997,213.154465,48334830
2018-03-21,215.550003,216.050003,210.000000,211.449997,208.712708,47770479
2018-03-22,209.649994,210.850006,205.949997,207.000000,204.320328,40465039
2018-03-23,205.100006,205.649994,202.399994,204.350006,201.704636,51836215
2018-03-26,204.949997,207.699997,204.050003,205.899994,203.234558,49037824
2018-03-27,208.100006,209.350006,205.600006,206.149994,203.481323,43549367
2018-03-28,205.050003,206.000000,202.250000,206.000000,203.333267,52744816
2018-03-29,207.100006,208.250000,204.149994,206.500000,203.826797,64604049
2018-04-03,205.300003,210.000000,205.199997,206.850006,204.172272,56800094
2018-04-04,207.000000,208.100006,202.550003,207.399994,204.715134,40605934
2018-04-05,211.350006,212.199997,208.800003,212.199997,209.453003,50014939
2018-04-06,211.899994,211.899994,209.550003,209.550003,206.837311,39367016
2018-04-09,211.250000,211.399994,208.000000,211.199997,208.465958,40824992
2018-04-10,212.699997,214.800003,211.649994,214.750000,211.970001,47633985
